[BROKER] listening on 0.0.0.0:8765
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] ws error jetson No PONG received after 7.5 seconds
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] ws error jetson No PONG received after 7.5 seconds
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] ws error jetson No PONG received after 7.5 seconds
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] ws error jetson No PONG received after 7.5 seconds
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen-latency-1786454483
[BROKER] jetson connected session=mcqueen-latency-1786454483
[BROKER] jetson disconnected session=mcqueen-latency-1786454483
[BROKER] rtx disconnected session=mcqueen-latency-1786454483
[BROKER] rtx connected session=mcqueen-latency-1786454682
[BROKER] jetson connected session=mcqueen-latency-1786454682
[BROKER] jetson disconnected session=mcqueen-latency-1786454682
[BROKER] rtx disconnected session=mcqueen-latency-1786454682
[BROKER] rtx connected session=mcqueen-latency-1786455002
[BROKER] jetson connected session=mcqueen-latency-1786455002
[BROKER] jetson disconnected session=mcqueen-latency-1786455002
[BROKER] rtx disconnected session=mcqueen-latency-1786455002
[BROKER] rtx connected session=mcqueen-lowlat-1786455802
[BROKER] jetson connected session=mcqueen-lowlat-1786455802
[BROKER] jetson disconnected session=mcqueen-lowlat-1786455802
[BROKER] rtx connected session=finish-udp-1786456510
[BROKER] jetson connected session=finish-udp-1786456510
[BROKER] jetson disconnected session=finish-udp-1786456510
[BROKER] rtx disconnected session=mcqueen-lowlat-1786455802
[BROKER] rtx connected session=finish-video-1786456554-1
[BROKER] rtx disconnected session=finish-udp-1786456510
[BROKER] rtx disconnected session=finish-video-1786456554-1
[BROKER] rtx connected session=finish-video-1786456592-2
[BROKER] rtx disconnected session=finish-video-1786456592-2
[BROKER] rtx connected session=finish-video-1786456630-3
[BROKER] rtx connected session=leave-local-20260811_193606
[BROKER] jetson connected session=leave-local-20260811_193606
[BROKER] jetson disconnected session=leave-local-20260811_193606
[BROKER] rtx disconnected session=leave-local-20260811_193606
[BROKER] jetson connected session=leave-control-20260811_193606
[BROKER] rtx connected session=leave-control-20260811_193606
[BROKER] jetson disconnected session=leave-control-20260811_193606
[BROKER] rtx disconnected session=leave-control-20260811_193606
[BROKER] jetson connected session=final-control-20260811_194236
[BROKER] rtx connected session=final-control-20260811_194236
[BROKER] jetson disconnected session=final-control-20260811_194236
[BROKER] rtx disconnected session=final-control-20260811_194236
[BROKER] rtx connected session=full-loop-20260811_195750-1
[BROKER] rtx disconnected session=full-loop-20260811_195750-1
[BROKER] rtx connected session=full-loop-20260811_195750-2
[BROKER] rtx disconnected session=full-loop-20260811_195750-2
[BROKER] rtx connected session=full-loop-20260811_195750-3
[BROKER] rtx disconnected session=full-loop-20260811_195750-3
[BROKER] rtx disconnected session=finish-video-1786456630-3
