[RTX-GST] PUBLIC 14.139.108.62:51594
[RTX-GST] PEER_CANDIDATE 152.58.1.45:59678
[RTX-GST] SIGNALING_P2P READY peer=152.58.1.45:59678
[RTX-GST] RTP_RX pkts=30 meta=30 frames_rx=29
[RTX-GST] PLAYING <enum GST_STATE_CHANGE_ASYNC of type Gst.StateChangeReturn>
[RTX-GST] RTP_RX pkts=60 meta=60 frames_rx=59
[RTX-GST] RTP_RX pkts=90 meta=90 frames_rx=89
[RTX-GST] RTP_RX pkts=120 meta=120 frames_rx=119
[RTX-GST] RTP_RX pkts=150 meta=150 frames_rx=149
[RTX-GST] RTP_RX pkts=180 meta=180 frames_rx=179
[RTX-GST] RTP_RX pkts=210 meta=210 frames_rx=209
[RTX-GST] RTP_RX pkts=240 meta=240 frames_rx=239
[RTX-GST] RTP_RX pkts=270 meta=270 frames_rx=269
[RTX-GST] RTP_RX pkts=300 meta=300 frames_rx=299
[RTX-GST] RTP_RX pkts=330 meta=330 frames_rx=329
[RTX-GST] RTP_RX pkts=360 meta=360 frames_rx=359
[RTX-GST] RTP_RX pkts=390 meta=390 frames_rx=389
[RTX-GST] RTP_RX pkts=420 meta=420 frames_rx=419
[RTX-GST] RTP_RX pkts=450 meta=450 frames_rx=449
[RTX-GST] RTP_RX pkts=480 meta=480 frames_rx=479
[RTX-GST] RTP_RX pkts=510 meta=510 frames_rx=509
[RTX-GST] RTP_RX pkts=540 meta=540 frames_rx=539
[RTX-GST] RTP_RX pkts=570 meta=570 frames_rx=569
[RTX-GST] RTP_RX pkts=600 meta=600 frames_rx=599
[RTX-GST] RTP_RX pkts=630 meta=630 frames_rx=629
[RTX-GST] RTP_RX pkts=660 meta=660 frames_rx=659
[RTX-GST] RTP_RX pkts=690 meta=690 frames_rx=689
[RTX-GST] RTP_RX pkts=720 meta=720 frames_rx=719
[RTX-GST] RTP_RX pkts=750 meta=750 frames_rx=749
[RTX-GST] RTP_RX pkts=780 meta=780 frames_rx=779
[RTX-GST] RTP_RX pkts=810 meta=810 frames_rx=809
[RTX-GST] RTP_RX pkts=840 meta=840 frames_rx=839
[RTX-GST] RTP_RX pkts=870 meta=870 frames_rx=869
[RTX-GST] RTP_RX pkts=900 meta=900 frames_rx=899
