[BROKER] listening on 127.0.0.1:8765
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] ws error jetson No PONG received after 7.5 seconds
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] ws error jetson No PONG received after 7.5 seconds
[BROKER] jetson disconnected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] jetson disconnected session=mcqueen
[BROKER] jetson connected session=mcqueen
[BROKER] rtx disconnected session=mcqueen
[BROKER] rtx connected session=mcqueen
[BROKER] ws error rtx No PONG received after 7.5 seconds
