PING 1.1.1.1 (1.1.1.1) 56(84) bytes of data.
64 bytes from 1.1.1.1: icmp_seq=1 ttl=52 time=78.5 ms
64 bytes from 1.1.1.1: icmp_seq=2 ttl=52 time=37.9 ms
64 bytes from 1.1.1.1: icmp_seq=3 ttl=52 time=56.3 ms
64 bytes from 1.1.1.1: icmp_seq=4 ttl=52 time=47.1 ms
64 bytes from 1.1.1.1: icmp_seq=5 ttl=52 time=43.2 ms
64 bytes from 1.1.1.1: icmp_seq=6 ttl=52 time=42.5 ms
64 bytes from 1.1.1.1: icmp_seq=7 ttl=52 time=39.8 ms
64 bytes from 1.1.1.1: icmp_seq=8 ttl=52 time=27.6 ms
64 bytes from 1.1.1.1: icmp_seq=9 ttl=52 time=35.9 ms
64 bytes from 1.1.1.1: icmp_seq=10 ttl=52 time=35.7 ms
64 bytes from 1.1.1.1: icmp_seq=11 ttl=52 time=33.1 ms
64 bytes from 1.1.1.1: icmp_seq=12 ttl=52 time=57.0 ms
64 bytes from 1.1.1.1: icmp_seq=13 ttl=52 time=30.7 ms
64 bytes from 1.1.1.1: icmp_seq=14 ttl=52 time=29.6 ms
64 bytes from 1.1.1.1: icmp_seq=15 ttl=52 time=42.9 ms
64 bytes from 1.1.1.1: icmp_seq=16 ttl=52 time=50.5 ms
64 bytes from 1.1.1.1: icmp_seq=17 ttl=52 time=39.9 ms
64 bytes from 1.1.1.1: icmp_seq=18 ttl=52 time=46.6 ms
64 bytes from 1.1.1.1: icmp_seq=19 ttl=52 time=37.0 ms
64 bytes from 1.1.1.1: icmp_seq=20 ttl=52 time=59.3 ms
64 bytes from 1.1.1.1: icmp_seq=21 ttl=52 time=29.2 ms
64 bytes from 1.1.1.1: icmp_seq=22 ttl=52 time=32.7 ms
64 bytes from 1.1.1.1: icmp_seq=23 ttl=52 time=36.6 ms
64 bytes from 1.1.1.1: icmp_seq=24 ttl=52 time=265 ms
64 bytes from 1.1.1.1: icmp_seq=25 ttl=52 time=100 ms
64 bytes from 1.1.1.1: icmp_seq=26 ttl=52 time=71.7 ms
64 bytes from 1.1.1.1: icmp_seq=27 ttl=52 time=55.9 ms
64 bytes from 1.1.1.1: icmp_seq=28 ttl=52 time=28.7 ms
64 bytes from 1.1.1.1: icmp_seq=29 ttl=52 time=66.6 ms
64 bytes from 1.1.1.1: icmp_seq=30 ttl=52 time=50.7 ms
64 bytes from 1.1.1.1: icmp_seq=31 ttl=52 time=61.8 ms
64 bytes from 1.1.1.1: icmp_seq=32 ttl=52 time=46.2 ms
64 bytes from 1.1.1.1: icmp_seq=33 ttl=52 time=45.0 ms
64 bytes from 1.1.1.1: icmp_seq=34 ttl=52 time=64.6 ms
64 bytes from 1.1.1.1: icmp_seq=35 ttl=52 time=56.2 ms
64 bytes from 1.1.1.1: icmp_seq=36 ttl=52 time=63.8 ms
64 bytes from 1.1.1.1: icmp_seq=37 ttl=52 time=93.6 ms
64 bytes from 1.1.1.1: icmp_seq=38 ttl=52 time=38.1 ms
64 bytes from 1.1.1.1: icmp_seq=39 ttl=52 time=90.0 ms
64 bytes from 1.1.1.1: icmp_seq=40 ttl=52 time=75.6 ms
64 bytes from 1.1.1.1: icmp_seq=41 ttl=52 time=248 ms
