PING 1.1.1.1 (1.1.1.1) 56(84) bytes of data.
64 bytes from 1.1.1.1: icmp_seq=1 ttl=52 time=94.8 ms
64 bytes from 1.1.1.1: icmp_seq=2 ttl=52 time=52.5 ms
64 bytes from 1.1.1.1: icmp_seq=3 ttl=52 time=50.8 ms
64 bytes from 1.1.1.1: icmp_seq=4 ttl=52 time=48.6 ms
64 bytes from 1.1.1.1: icmp_seq=5 ttl=52 time=47.7 ms
64 bytes from 1.1.1.1: icmp_seq=6 ttl=52 time=45.8 ms
64 bytes from 1.1.1.1: icmp_seq=7 ttl=52 time=56.6 ms
64 bytes from 1.1.1.1: icmp_seq=8 ttl=52 time=52.9 ms
64 bytes from 1.1.1.1: icmp_seq=9 ttl=52 time=64.2 ms
64 bytes from 1.1.1.1: icmp_seq=10 ttl=52 time=83.6 ms
64 bytes from 1.1.1.1: icmp_seq=11 ttl=52 time=60.8 ms
64 bytes from 1.1.1.1: icmp_seq=12 ttl=52 time=45.0 ms
64 bytes from 1.1.1.1: icmp_seq=13 ttl=52 time=38.3 ms
64 bytes from 1.1.1.1: icmp_seq=14 ttl=52 time=59.4 ms
64 bytes from 1.1.1.1: icmp_seq=15 ttl=52 time=62.1 ms
64 bytes from 1.1.1.1: icmp_seq=16 ttl=52 time=40.1 ms
64 bytes from 1.1.1.1: icmp_seq=17 ttl=52 time=56.1 ms
64 bytes from 1.1.1.1: icmp_seq=18 ttl=52 time=52.2 ms
64 bytes from 1.1.1.1: icmp_seq=19 ttl=52 time=59.4 ms
64 bytes from 1.1.1.1: icmp_seq=20 ttl=52 time=50.2 ms
64 bytes from 1.1.1.1: icmp_seq=21 ttl=52 time=31.1 ms
64 bytes from 1.1.1.1: icmp_seq=22 ttl=52 time=26.7 ms
64 bytes from 1.1.1.1: icmp_seq=23 ttl=52 time=45.2 ms
64 bytes from 1.1.1.1: icmp_seq=24 ttl=52 time=28.1 ms
64 bytes from 1.1.1.1: icmp_seq=25 ttl=52 time=25.8 ms
64 bytes from 1.1.1.1: icmp_seq=26 ttl=52 time=48.5 ms
64 bytes from 1.1.1.1: icmp_seq=27 ttl=52 time=38.8 ms
64 bytes from 1.1.1.1: icmp_seq=28 ttl=52 time=35.5 ms
64 bytes from 1.1.1.1: icmp_seq=29 ttl=52 time=60.2 ms
64 bytes from 1.1.1.1: icmp_seq=30 ttl=52 time=50.6 ms
64 bytes from 1.1.1.1: icmp_seq=31 ttl=52 time=54.1 ms
64 bytes from 1.1.1.1: icmp_seq=32 ttl=52 time=47.1 ms
64 bytes from 1.1.1.1: icmp_seq=33 ttl=52 time=52.3 ms
64 bytes from 1.1.1.1: icmp_seq=34 ttl=52 time=28.2 ms
64 bytes from 1.1.1.1: icmp_seq=35 ttl=52 time=30.0 ms
64 bytes from 1.1.1.1: icmp_seq=36 ttl=52 time=68.6 ms
64 bytes from 1.1.1.1: icmp_seq=37 ttl=52 time=48.8 ms
64 bytes from 1.1.1.1: icmp_seq=38 ttl=52 time=62.6 ms
64 bytes from 1.1.1.1: icmp_seq=39 ttl=52 time=46.3 ms
64 bytes from 1.1.1.1: icmp_seq=40 ttl=52 time=84.7 ms
64 bytes from 1.1.1.1: icmp_seq=41 ttl=52 time=117 ms
64 bytes from 1.1.1.1: icmp_seq=42 ttl=52 time=30.5 ms
64 bytes from 1.1.1.1: icmp_seq=43 ttl=52 time=36.6 ms
64 bytes from 1.1.1.1: icmp_seq=44 ttl=52 time=64.0 ms
64 bytes from 1.1.1.1: icmp_seq=45 ttl=52 time=35.7 ms
64 bytes from 1.1.1.1: icmp_seq=46 ttl=52 time=73.1 ms
64 bytes from 1.1.1.1: icmp_seq=47 ttl=52 time=46.0 ms
64 bytes from 1.1.1.1: icmp_seq=48 ttl=52 time=69.9 ms
64 bytes from 1.1.1.1: icmp_seq=49 ttl=52 time=62.4 ms
64 bytes from 1.1.1.1: icmp_seq=50 ttl=52 time=60.9 ms
64 bytes from 1.1.1.1: icmp_seq=51 ttl=52 time=40.7 ms
64 bytes from 1.1.1.1: icmp_seq=52 ttl=52 time=60.7 ms
64 bytes from 1.1.1.1: icmp_seq=53 ttl=52 time=38.2 ms
64 bytes from 1.1.1.1: icmp_seq=54 ttl=52 time=81.9 ms
64 bytes from 1.1.1.1: icmp_seq=55 ttl=52 time=38.0 ms
64 bytes from 1.1.1.1: icmp_seq=56 ttl=52 time=50.9 ms
