frame_id,capture_mono_ns,recv_mono_ns,save_mono_ns
0,15026341769288,194636048830384,194636121992136
21,15027040223346,194636904185647,194636905405795
22,15027071407733,194636927721225,194636928659926
23,15027104158916,194637014425472,194637015446679
25,15027172297699,194637046141551,194637047014213
26,15027203276932,194637047006429,194637047759305
27,15027240278515,194637050015205,194637050792682
28,15027272208515,194637118926805,194637119766081
29,15027304234762,194637126069475,194637126896300
30,15027340426098,194637174215637,194637175174725
31,15027372247141,194637200051460,194637200857225
32,15027404273649,194637244120067,194637245111916
33,15027440243061,194637257207952,194637258156568
34,15027471233180,194637321280146,194637322097445
35,15027504222485,194637364260413,194637365116750
36,15027539755810,194637419050152,194637419877956
37,15027572169864,194637451223054,194637452269900
39,15027639251372,194637476126901,194637476971263
40,15027671764904,194637476986188,194637477776340
41,15027704220415,194637481340539,194637482254898
42,15027740256181,194637566044498,194637566963572
43,15027772223731,194637603119925,194637603965918
44,15027804243468,194637614151791,194637614947712
45,15027840215745,194637659039042,194637659889013
46,15027872183140,194637676044346,194637676858087
47,15027904259282,194637719103794,194637719873617
48,15027940356766,194637765161161,194637766246114
49,15027972256505,194637835892564,194637836955065
50,15028004301138,194637836904634,194637837672107
51,15028040359663,194637843794471,194637844688126
52,15028072472472,194637850371297,194637851270473
53,15028103208792,194637927212809,194637928218657
54,15028136257471,194638096713859,194638098395888
56,15028204245475,194638099104146,194638100519397
57,15028236138652,194638100877691,194638102154333
58,15028272188427,194638102199507,194638103316196
59,15028303580154,194638103999369,194638105286973
60,15028336249985,194638105132577,194638106213670
61,15028371249674,194638172078822,194638172957694
62,15028404180281,194638172997321,194638173818546
63,15028435237899,194638197168716,194638198156254
65,15028504217761,194638242126520,194638243457679
66,15028536236770,194638299375667,194638300388510
67,15028571945613,194638357455942,194638358452124
68,15028604183316,194638367409043,194638368380042
69,15028636275656,194638412868423,194638413770638
70,15028671784451,194638437906587,194638438820035
71,15028704149078,194638486244362,194638487229996
72,15028736216315,194638517442923,194638518357911
73,15028772183019,194638530784465,194638531673431
74,15028804250984,194638600042163,194638600967107
75,15028835238864,194638639201623,194638640222335
76,15028872153938,194638654258885,194638655203928
77,15028904224351,194638683966859,194638684870895
78,15028936274609,194638697117486,194638697999025
79,15028972136523,194638763278298,194638764437475
80,15029004305997,194638772170361,194638773191124
81,15029036201726,194638798993449,194638799923557
82,15029072262803,194638852604128,194638853523571
83,15029103226985,194638857349470,194638858255105
84,15029135393022,194639013504347,194639014698228
85,15029171138271,194639047165244,194639048096555
86,15029204241220,194639055996762,194639056904558
87,15029236175490,194639076486668,194639077493334
88,15029272208599,194639086389570,194639087312958
90,15029335257569,194639095102990,194639095968097
91,15029372326390,194639206427954,194639207530060
92,15029404247848,194639207999143,194639208923785
93,15029436137900,194639238308883,194639239304543
94,15029472229081,194639276914937,194639277804114
95,15029503802159,194639292443016,194639293347528
96,15029536231160,194639356776748,194639357712541
97,15029572204218,194639380423024,194639381349218
98,15029604186404,194639406324947,194639407205721
99,15029636204943,194639424971737,194639425841307
100,15029667723647,194639486945996,194639487888827
101,15029703219056,194639496211339,194639497101313
102,15029736337890,194639578400724,194639579304322
103,15029768327628,194639599933773,194639600860391
104,15029803713508,194639642373452,194639643481668
105,15029836206623,194639644975853,194639645875915
106,15029868310942,194639649714063,194639650710052
107,15029903352401,194639694605399,194639695692668
108,15029936168948,194639766282865,194639767586184
109,15029967920825,194639776884087,194639777908021
110,15030004271794,194639803400383,194639804475864
111,15030036273823,194639813220617,194639814163660
112,15030068313768,194639881641737,194639882692966
113,15030104386981,194639897153967,194639898189350
114,15030136238700,194640097220606,194640098342809
115,15030168158751,194640124707514,194640125676596
116,15030204218631,194640140261971,194640141272285
117,15030236199670,194640168638692,194640169537002
118,15030268262167,194640177940738,194640178844230
119,15030304188872,194640202604023,194640203492437
120,15030336324597,194640248370239,194640249221704
121,15030368089599,194640251175932,194640252140817
122,15030403255743,194640256691576,194640257624451
123,15030435356260,194640282601998,194640283491252
125,15030503453168,194640297049602,194640297918759
126,15030536210862,194640359647021,194640360666060
127,15030567348166,194640366810313,194640367715663
128,15030604495423,194640480165168,194640481070169
129,15030636184645,194640483287376,194640484265126
130,15030668230528,194640491848463,194640492756292
131,15030704190305,194640563805598,194640565233286
132,15030736371133,194640597869076,194640599272899
133,15030767649736,194640729923072,194640731322942
135,15030835823726,194640758727827,194640760182783
137,15030904175266,194640771831096,194640773256280
138,15030936202503,194640801473340,194640802761079
139,15030968348853,194640816333947,194640817700772
141,15031035194479,194640900805256,194640902312498
142,15031068254356,194640943376175,194640944699578
143,15031104214653,194641096985838,194641098269487
144,15031136122205,194641113349598,194641114721042
145,15031167669606,194641132431217,194641133536838
146,15031199212528,194641146818566,194641147848259
148,15031268341555,194641182817494,194641183962295
149,15031299060636,194641184026054,194641184951504
150,15031335254524,194641220849031,194641221772814
151,15031367880762,194641239995050,194641240939271
152,15031399479776,194641252035364,194641252923217
153,15031435264556,194641257596032,194641258475453
154,15031468396827,194641325580739,194641326652243
155,15031500132923,194641363488526,194641364547496
156,15031535636406,194641379340887,194641380265336
157,15031567759162,194641483074640,194641484187644
158,15031600269725,194641492958536,194641493975776
159,15031636182419,194641495540567,194641496527466
160,15031668242728,194641559372327,194641560313320
161,15031700299288,194641573914773,194641574848913
162,15031736310158,194641612497994,194641613472815
163,15031768168075,194641643072954,194641643948503
165,15031835780095,194641684473929,194641685432954
166,15031868307220,194641722825153,194641723760252
167,15031900131023,194641772870897,194641773946350
168,15031936132205,194641776235723,194641777268897
169,15031968441833,194641802646453,194641803630139
170,15032000281313,194641855283919,194641856326452
172,15032068205464,194641926425275,194641927524873
173,15032100075828,194642015744316,194642016916981
174,15032136307267,194642020146319,194642021257556
175,15032167680817,194642044833380,194642045750632
176,15032200193046,194642060754354,194642061625807
178,15032268224122,194642139159357,194642140349368
179,15032300308650,194642197040375,194642198049981
180,15032336144470,194642201975413,194642202941019
183,15032436173044,194642327957260,194642328993691
184,15032468117366,194642339358404,194642340415515
186,15032536295731,194642409069313,194642410321971
187,15032567252048,194642420549520,194642421605398
188,15032599340534,194642461889590,194642462975155
190,15032668105139,194642499679505,194642500736171
191,15032700156334,194642541950414,194642542985569
192,15032732189405,194642579905741,194642580826035
193,15032768338293,194642665892138,194642666879732
194,15032800178971,194642739938409,194642741190415
195,15032831318826,194642741074090,194642742065801
196,15032868208119,194642760388089,194642761319178
197,15032900236294,194642773521478,194642774430991
198,15032932212438,194642799790810,194642800688812
199,15032968285442,194642818641337,194642819658729
201,15033032060077,194642879601736,194642880669763
203,15033100113809,194643040037045,194643041233255
204,15033131584648,194643078317051,194643079241051
206,15033199292084,194643080491184,194643081478031
207,15033231569317,194643190731111,194643191797701
208,15033268373090,194643193183124,194643194279781
210,15033332171891,194643194120210,194643195211667
211,15033367169965,194643196856039,194643197893438
212,15033399705423,194643198530717,194643199532914
213,15033431154909,194643247163152,194643248083917
214,15033468186960,194643276953258,194643277882010
215,15033500059408,194643361934029,194643363147072
216,15033532172581,194643413916349,194643414917735
217,15033568146160,194643414867517,194643415811379
218,15033599331379,194643422655350,194643423627146
219,15033632160738,194643481914955,194643482973900
220,15033668202285,194643539640686,194643540580877
223,15033767077336,194643572261019,194643573222562
224,15033799185405,194643615713066,194643616689501
225,15033831070717,194643656702696,194643657817885
226,15033867183773,194643720331385,194643721323935
227,15033899377257,194643722617376,194643723569426
228,15033931181529,194643741354567,194643742303456
229,15033968126185,194643743004912,194643744028314
230,15034000236494,194643803417092,194643804616344
231,15034031153176,194643856505907,194643857629553
232,15034068160175,194643857893780,194643858978367
233,15034100194912,194643920101654,194643921100118
234,15034131259300,194644055499948,194644056586203
235,15034163151748,194644064734441,194644065843529
236,15034199575423,194644090571439,194644091719415
237,15034231924790,194644129028082,194644129973830
238,15034263950882,194644144813226,194644145730370
239,15034299087391,194644169289474,194644170301290
240,15034331024629,194644179473283,194644180413769
241,15034363148479,194644202610608,194644203513494
242,15034399641945,194644217648162,194644218657924
243,15034431751004,194644243265369,194644244204300
244,15034464152453,194644253526537,194644254449059
245,15034499961035,194644321924387,194644323019039
