timestamp,motor_pwm_sent,servo_angle_sent,camera_frame
14:58:25.601,0,80,
14:58:25.795,0,80,
14:58:26.251,0,80,
14:58:26.254,0,80,
14:58:26.423,0,79,
14:58:26.629,0,109,
14:58:26.866,0,125,
14:58:27.078,0,125,
14:58:27.364,0,103,
14:58:27.685,0,64,
14:58:27.704,0,55,
14:58:27.912,0,55,
14:58:28.112,0,55,
14:58:28.312,0,79,
14:58:28.520,0,117,
14:58:28.817,0,125,
14:58:29.017,0,125,
14:58:29.142,0,125,
14:58:29.351,0,91,
14:58:29.570,0,55,
14:58:29.772,0,55,
14:58:30.039,0,55,
14:58:30.350,0,63,
14:58:30.385,0,100,
14:58:30.607,0,125,
14:58:30.821,0,125,
14:58:31.038,0,125,
14:58:31.343,0,98,
14:58:31.460,0,74,
14:58:31.792,0,80,
14:58:31.845,-19,80,
14:58:32.061,0,80,
14:58:32.262,89,80,
14:58:32.467,191,80,
14:58:32.670,95,80,
14:58:33.239,-31,80,
14:58:33.241,-95,80,
14:58:33.295,0,80,
14:58:33.493,0,80,
14:58:33.705,0,80,
14:58:33.910,0,80,
14:58:34.576,0,80,
14:58:34.576,0,80,
14:58:34.582,0,80,
14:58:34.756,0,80,
14:58:34.972,0,80,
14:58:35.172,0,80,
14:58:35.385,0,80,
14:58:35.877,0,80,
14:58:35.880,0,80,
14:58:36.006,0,80,
14:58:36.212,0,80,
14:58:36.415,0,80,
14:58:36.615,0,80,
14:58:36.826,0,80,
14:58:37.310,0,80,
14:58:37.516,0,80,
14:58:37.517,0,80,
14:58:37.720,0,80,
14:58:37.879,0,80,
14:58:38.088,0,81,
14:58:38.294,27,98,
14:58:38.518,55,83,
14:58:38.848,81,77,
14:58:38.920,92,72,
14:58:39.126,92,76,
14:58:39.335,89,91,
14:58:39.542,14,115,
14:58:39.871,-57,119,
14:58:40.178,-84,81,
14:58:40.180,-86,78,
14:58:40.383,-94,84,
14:58:40.570,-88,104,
14:58:40.775,-33,73,
14:58:40.983,0,80,
14:58:41.412,0,80,
14:58:41.412,0,80,
14:58:41.616,0,80,
14:58:41.833,3,76,
14:58:42.054,0,71,
14:58:42.261,6,68,
14:58:42.842,26,59,
14:58:42.845,33,58,
14:58:42.885,35,58,
14:58:43.088,73,63,
14:58:43.291,80,65,
14:58:43.495,87,61,
14:58:43.702,96,80,
14:58:43.945,79,115,
14:58:44.275,83,125,
14:58:44.341,10,125,
14:58:44.552,-62,102,
14:58:44.758,-68,63,
14:58:44.967,0,80,
14:58:45.400,0,80,
14:58:45.406,0,80,
14:58:45.606,0,80,
14:58:45.793,0,80,
14:58:46.014,0,80,
14:58:46.218,0,80,
